"标题","摘要","作者","链接","发表时间","","",""
"SKIN WHITENING AGENT FOR ORAL INTAKE AND ITS USE","摘要：本发明的目的是获得即使口服也不存在安全问题的受试制剂，并且通过去除皮肤上的雀斑等而具有极好的美白效果，并获得含有上述制剂的可食组合物。解决方案：这种口服皮肤美白剂含有一种提取物作为活性成分，该提取物由番石榴叶用水、亲水性有机溶剂或其混合物萃取而成；其中，上述提取物优选通过在压力和加热下使用含水乙醇进行提取来提供，并且与含有原花青素的混合物结合使用。植物提取物。另一种目标食用组合物是通过加入上述试剂获得的","BIZEN KASEI KK","https://www.wanxiangyun.net/search/detail?id=jp19980285840","2000","","",""
"WHITENING HEALTH FOOD AND DRINK","摘要：","KIKKOMAN CORP","https://www.wanxiangyun.net/search/detail?id=jp20040018195","2005","","",""
"【Title of corresponding document：KR20100020606A】 COSMETIC COMPOSITION FOR A SKIN WHITENING","摘要：本发明提供了一种含有葡萄枝提取物的用于皮肤美白的化妆品组合物，以抑制酪氨酸酶活性和黑素生成，且无较少副作用。体质：一种用于皮肤美白的化妆品组合物含有0.001-10重量份的葡萄枝提取物作为活性成分。使用过的葡萄来自坎贝尔或新马斯喀特。葡萄枝提取物含有原花青素B2。葡萄枝提取物使用蒸馏水、1-20个碳原子的有机溶剂或其混合溶剂获得。有机溶剂为1-4个碳原子的低醇、丙酮、乙酸乙酯、乙醚、二氯甲烷、氯乙烯、己烷或乙醚。化妆品组合物以皮肤软化剂、营养皮肤、营养霜、按摩霜、精华或包装的形式使用。","KOREA FOOD RES INST","https://www.wanxiangyun.net/search/detail?id=kr20080079279","2010","","",""
"一种组合物及含有该组合物的护肤品","摘要：本发明属于化妆品领域,具体涉及一种护肤组合物及含有该组合物的护肤品。该组合物及护肤产品含有掌叶树提取物、猴面包树果肉提取物和向日葵籽提取物,并优选含有白池花籽油、向日葵籽油或它们的组合。","广州市索柔生物科技有限公司","https://www.wanxiangyun.net/search/detail?id=cn201610156460","2016","","",""
"以大果苔莓萃取物作为有效成份的口服用皮肤改善剂","摘要：本发明提供一种具有皮肤保湿、调整皮脂量、保持皮肤弹性或保持末梢血液循环任何一项以上机能且以大果苔苺萃取物作为有效成分的口服用皮肤改善剂，及含有此口服用皮肤改善剂的食品或药品。","龟甲万股份有限公司","https://www.wanxiangyun.net/search/detail?id=tw20050104799","2005","","",""
"【Title of corresponding document：kr20130045451A】 Cosmetic composition containing Croton Lechleri resin extract","摘要：本发明提供了一种含有巴豆树脂提取物的化妆品组合物，以改善皮肤保湿、弹性、抗老化和皮肤美白，并确保抗菌和抗炎效果。成分：化妆品成分中含有0.0001-20 wt%的巴豆树脂提取物作为活性成分。该提取物含有原花青素和塔斯平作为活性成分。提取物是通过在水中或有机溶剂中浸取巴豆-莱切利树脂、纯化和提取而制备的。[参考数字]（AA）示例1；（BB）比较示例1；（CC）0周；（DD）2周；（EE）4周","AMOREPACIFIC CORP","https://www.wanxiangyun.net/search/detail?id=kr20110109655","2013","","",""
"【Title of corresponding document：KR20140097821A】 MOUTHWASHES FOR SOFT CAPSULES AND METHOD OF MANUFACTURING THE SAME","摘要：本发明涉及一种含有乳香油的具有去除幽门螺杆菌效果的口腔净化器及其制造方法；去除口臭，清洁牙齿以预防口腔疾病，并具有抗菌作用，通过防止牙齿变色来美白牙齿。本发明的口腔净化器包括去除幽门螺杆菌的乳香油，包括花青素、没药、甘油、木糖醇、胡萝卜提取物、绿茶提取物、蜂胶提取物、柠檬酸钠、对羟基苯甲酸甲酯、L-薄荷醇、从氟化钠中提取的纯化水醇、植物杀菌剂、，乳香和木偶胡萝卜与解决方案","KWON YOUNG KIL","https://www.wanxiangyun.net/search/detail?id=kr20130010418","2014","","",""
"【Title of corresponding document：CN101795666A】 Cosmetic composition comprising vitamin C","摘要：本文公开了一种用于长期增强维生素C稳定性的化妆品组合物。该组合物包括含有维生素C的固相和水相，它们彼此分离，并打算在使用前立即混合。该组合物能够抑制维生素C的氧化，维生素C具有抗皱和美白效果，但在典型应用中使用时存在问题，因为其结构不稳定，容易被溶解在水中的氧气氧化，因此，该组合物在保持其生理活性的状态下提供维生素C。固相还包括一种或多种抗氧化剂，选自曲酸、α-硫辛酸、原花青素、视黄醇、视黄醇衍生物、辅酶QlO、半胱氨酸抗氧化剂、硒、碧萝芷","コッテ,リミテッド
									;,リ,ジェホン","https://www.wanxiangyun.net/search/detail?id=jp20100522816","2010","","",""
"COSMETIC, FOOD AND BATHING AGENT","摘要：本发明提供一种对人体安全、具有优良的皮肤美容效果和活性氧抑制效果、对粗糙皮肤等有效的治疗效果的化妆品，包括含有亲水性溶剂的有色大米提取物。解决方案：将含有亲水性溶剂的彩色大米提取物以0.001-20 wt.%的固体成分加入化妆品中，例如面霜、乳液、乳白色乳液、面霜和包装。有色大米优选例如糙米，其中至少一部分果皮、种皮、糊粉层或淀粉层为黑色、紫色或红色，尤其是糙米的果皮或种皮中含有花青素复合色素的黑米或黑紫色大米。提取物可通过使用亲水性溶剂（例如水和乙醇的混合物）提取上述有色大米或有色大米的麸皮，纯化提取物，并在必要时对产品进行浓缩、干燥等来生产。提取物也可用于食品、沐浴剂、啤酒等","PURE KK","https://www.wanxiangyun.net/search/detail?id=jp19970102636","1998","","",""
"黑豆茶咖啡及其制备方法","摘要：黑豆茶咖啡及其制备方法,它涉及饮料技术领域;黑豆茶咖啡,它由如下重量分数的原料组成:黑豆茶900~1100份、速溶咖啡粉600~650份、植脂未2600~2650份、白砂糖1300~1350份;黑豆茶咖啡的制备方法包含如下步骤:将黑豆茶超细粉碎;将豆皮茶超细粉碎称取:黑豆茶1000份、速溶咖啡粉618份、植脂未2618份、白砂糖1310份,搅拌至均匀,分装至包装成袋或灌装。本发明黑豆茶咖啡是将黑豆茶、豆皮茶、速溶咖啡粉等依据人体营养科学按照黄金比例配比,补体强肾、提神醒脑,产品适用范围广,既能疲劳提神,又能体乏补体,是能够帮助人们提高工作效率和保证健康品质的特殊泡饮品。","陕西福禄成工贸有限公司","https://www.wanxiangyun.net/search/detail?id=cn202010673613","2020","","",""
"一种抗氧化组合物及其应用","摘要：本发明公开了一种抗氧化组合物,涉及食品加工技术领域。所述抗氧化组合物,包含以下重量份的组分:黑果腺肋花楸浓缩果汁粉0.1 10份和紫苏粉0.1 10份。本发明提供的抗氧化组合物将黑果腺肋花楸浓缩果汁粉和紫苏粉,两种具有清除人体内多余自由基能力的原料结合在一起,使它们协同作用,经过复合配比,使其在抗氧化、清除自由基反应功能上的优势得到充分发挥,从而确保产品的功效。本发明所述的食品,经毒性实验和功能实验证明,安全无毒。","广东绿宝堂健康科技有限公司","https://www.wanxiangyun.net/search/detail?id=cn202011599280","2021","","",""
"一种膳食补充剂及其制备方法和应用","摘要：本发明提供了一种膳食补充剂,包括70 95重量份黑树莓提取物和5 30重量份胡椒碱。本发明的膳食补充剂可进一步包括营养制品学上和/或药学上可接受的载体和/或辅料以制成口服剂型。本发明的膳食补充剂的制备方法是按照预定比例准备黑树莓提取物和胡椒碱;以及将黑树莓提取物和胡椒碱混合。本发明的膳食补充剂具有卓越的抗氧化和抗炎效果,可用于制备保健品和药品。","阳光医疗运营有限公司","https://www.wanxiangyun.net/search/detail?id=cn201710535183","2017","","",""
"多功能营养组合物及其制备方法和保健食品","摘要：本发明公开了一种多功能营养组物及其制备方法和保健食品,该组合物,含有活性短肽、矿物质、抗氧化剂和保湿剂,还含有磷脂对活性短肽和矿物质进行包埋;可以添加氨基酸和/或蛋白质。其中活性短肽的分子量为5000道尔顿以下。本发明中,活性短肽与矿物质的螯合物的生物利用度较单一的活性短肽或矿物质都有显著提高,用磷脂包埋后解决了其螯合物在产品中的不稳定现象,同时加快了在体内转运的速度,显著提高吸收和利用的速度;氨基酸与保湿剂的混合解决了活性物质在产品中的稳定性,抗氧化剂显著延长了产品的货架期和保质期①","李晨悦
									;,孙玉坤","https://www.wanxiangyun.net/search/detail?id=cn201911342972","2020","","",""
"多孔框架材料在面膜中的应用","摘要：本申请针对传统面膜基质刺激性强、清洁能力一般、添加的均相防腐剂易导致皮肤过敏发炎、活性物质利用不充分等问题,创造性地利用多孔框架材料强吸附性、抗菌性,能够将活性成分缓释的性能将现有面膜技术中的难题解决。同时,经过大量实验和长期摸索,建立了用作不同种类面膜的多孔框架材料的筛选标准,并根据材料结构研究了多孔框架材料与客体分子的相互作用机制。","南开大学","https://www.wanxiangyun.net/search/detail?id=cn201710604783","2017","","",""
"一种提高植物的抗氧化物质之方法","摘要：本发明系关於一种提高植物的抗氧化物质之方法,其包括:(a)置放至少一具调整或保留光谱波长之透光材料於光源和植物光受体间;及(b)光经过该透光材料後,340nm~500nm区段之透光率低於59%;500nm~600nm区段之透光率低於50%;与600nm~850nm区段之透光率低於78%。","吴炎东","https://www.wanxiangyun.net/search/detail?id=tw20160123916","2018","","",""
"一种提高植物的抗氧化物质的方法","摘要：一种提高植物的抗氧化物质的方法,其包括:(a)置放至少一具调整或保留光谱波长的透光材料于光源和植物光受体间;及(b)光经过该透光材料后,340nm~500nm区段的透光率低于59%;500nm~600nm区段的透光率低于50%;与600nm~850nm区段的透光率低于78%。","吴炎东","https://www.wanxiangyun.net/search/detail?id=cn201610584555","2018","","",""
"一种果蔬食用菌重组冻干泥的加工方法","摘要：本发明涉及一种果蔬食用菌重组冻干泥的加工方法,属于食品加工技术领域。该方法主要包括原料配伍、均质细化、真空冻干步骤。采用该方法将果蔬和食用菌配伍,营养丰富,而且全利用重组制成冻干泥,对原料形态没有要求;重组原料颗粒小、分布均匀、稳定性高,大大提高产品的质地口感。本发明方法巧妙合理,可以有效保留天然营养和风味品质,充分利用原料,并且工序简化、效率高、能耗低。","南京晓庄学院","https://www.wanxiangyun.net/search/detail?id=cn201811502718","2019","","",""
"一种果蔬食用菌重组脆片的加工方法","摘要：本发明涉及一种果蔬食用菌重组脆片的加工方法,属于食品加工技术领域。该方法主要包括原料配伍、均质细化、速冻成型、真空冻干步骤。采用该方法将果蔬和食用菌配伍,营养丰富,而且全利用重组制成脆片,对原料形态没有要求;重组原料颗粒小、分布均匀、稳定性高,大大提高产品的质地口感。本发明方法巧妙合理,可以有效保留天然营养和风味品质,充分利用原料,并且工序简化、效率高、能耗低。","南京晓庄学院","https://www.wanxiangyun.net/search/detail?id=cn201811502269","2019","","",""
"一种纳米包裹技术的基质及其制备方法","摘要：本发明公开了一种纳米包裹技术的基质及其制备方法,该纳米包裹技术的基质成分包括化妆品的各种功效成分、原理成分、壁材成分、稳定成分、缓冲液成分。按照规定的工艺,制备出一种具有纳米结构的包裹基质。通过实验结果表明,该纳米包裹技术的基质具有稳定的纳米结构,也具有更为出色的促进皮肤吸收的能力,更为重要的是,其制备方法简单,普通的化妆品公司也可以实施。","中新国际联合研究院","https://www.wanxiangyun.net/search/detail?id=cn202110026765","2021","","",""
"一种胸膜及颈膜配方及其制造方法","摘要：本发明公开了一种胸膜及颈膜配方及其制造方法,用于胸部及颈部的养护,其包括于对应身体结构适配的无纺布和药物成分,填补了现在的市场空白,其具有轻微扩张毛细血管增加循环、改善中间代谢、促进皮肤营养吸收作用,直接参与细胞内外电解质交流的调控,发挥物理和分子信息的过滤器作用,具有消皱功能,可增加皮肤弹性,延缓皮肤衰老。","张雅红","https://www.wanxiangyun.net/search/detail?id=cn201510900997","2016","","",""
"功能性生物纤维膜之制备方法及功能性生物纤维面膜","摘要：本发明提供一种功能性生物纤维膜之制备方法,包含将一生物纤维膜浸於一功能性溶液中,并将温度升高为35℃以上一段时间。本发明亦提供利用功能性生物纤维膜制成之功能性生物纤维面膜,其中均匀充满功能性成分,能够达到最佳保养效果。","大江生医股份有限公司","https://www.wanxiangyun.net/search/detail?id=tw20170108764","2017","","",""
"【Title of corresponding document：CN106389219A】 Externally-used traditional Chinese medicine composition with whitening and freckle removing functions and skin-care preparation","摘要：本发明属于化妆品领域，具体涉及一种具有美白祛斑功能的外用中药组合物、护肤制剂及其制备方法。该外用中药组合物由红花、当归、黄芪、川芎、白芍、熟地、甘草、人参、白芍等九种原料组成，经验证对皮肤无模拟。这九种物质相互配合，促进面部微循环，帮助皮肤代谢面部沉积物，抑制黑色素生成，分解形成的黑色素，使外用中药组合物安全温和，能提亮皮肤，美白祛斑。","HUIZHOU HUIY MEI BIO TECHNIQUE CO LTD","https://www.wanxiangyun.net/search/detail?id=wo2016cn105802","2018","","",""
"射干提取物的提取工艺、射干提取物及其应用以及润肤膏霜","摘要：本发明公开了一种射干提取物的提取工艺、射干提取物及其应用以及润肤膏霜,涉及射干的提取工艺。该提取工艺包括以下步骤:射干根茎经冷冻干燥后进行提取,提取液经浓缩后,再用凝胶柱纯化,得到射干提取物;其中,冷冻干燥的工艺条件为:冷冻温度 80~ 70℃、冷冻时间40~60h和真空度15~25Pa。本发明缓解了目前的射干提取物的提取工艺存在提取率低、所提取的提取物中有效成分含量少、杂质多以及活性低的问题。本发明提供的射干提取物的提取工艺具有较高的提取率,提取得到的射干提取物中的有效黄酮类成分含量高、杂质少,具有较高的抗氧化活性和较高的透明质酸酶抑制活性。","广东丸美生物技术股份有限公司","https://www.wanxiangyun.net/search/detail?id=cn201710784251","2017","","",""
"苦豆酮的制备及在个人护理产品中的应用","摘要：本发明公开了一种以苦豆子为原料,适宜于工业化制备高纯度苦豆酮的方法:采用该方法制备苦豆酮避免了酸碱处理和层析分离,因而避免了酸碱处理过程中苦豆酮的降解和异构化,提高了化合物的纯度和得率。因此降低了可能的毒性和皮肤刺激性。采用该方法所得到的苦豆酮比已知亮肤剂具有更好的亮肤活性。","云白药征武科技(上海)有限公司","https://www.wanxiangyun.net/search/detail?id=cn201910757209","2019","","",""
"一种超声波技术提取面膜用白芨提取液的制备方法","摘要：一种超声波技术提取面膜用白芨提取液的制备方法,其特征是:将洗净自然晾干后,置于烘箱中于105~115℃下烘干,用组织粉碎机粉碎成平均粒径为25~50目的原料粉末;以65%~75%乙醇为浸提液,将原料粉末和浸提液按1:15~1:25的质量比混合后超声提取时间为20 35min装入浸出罐,在60~80℃条件下浸提45 60min,提取次数为3次;然后合并提取液,进行过滤减压蒸发回收浸提液,压力为 1~ 0.8MPa,蒸发温度为35~40℃;蒸发分离掉醇后的溶液就是面膜所用的白芨提取液。本发明的生产工艺过程简单,工艺路线短,整个生产过程以乙醇溶液为主,没有有毒、有害物质,后续处理方便,且生产设备简单,容易扩大规模进行工业化生产,生产成本较低。","张仕英","https://www.wanxiangyun.net/search/detail?id=cn201710134691","2017","","",""
"一种中药祛痘组合物及其护肤霜膏与制备方法","摘要：本发明涉及一种中药祛痘组合物及其护肤霜膏与制备方法。本发明以我国传统中医理论为基础,以数种中药的组合物为主料,辅以化妆品领域的常用基质辅料制成中药祛痘制剂。本发明提供的中药祛痘制剂见效块,痊愈率高,并具有消除皮肤印痕、黑斑并改善皮肤老化等功效,且制剂有效成分均为中药提取物,无副作用,绿色安全。","迟俐","https://www.wanxiangyun.net/search/detail?id=cn201610086995","2017","","",""
"APPLICATION OF HIGH PURITY NERVONIC ACID IN WHITENING AND PREPARATION METHOD FOR HIGH PURITY NERVONIC ACID","摘要：神经酸在制备抑制黑色素生成的药物组合物或抑制黑色素生成的美白化妆品中的应用。神经酸的纯度大于95%，神经酸的结构式如式（1）所示，上述式（I）为式（1）。该化合物对人体黑色素的合成有良好的抑制作用，应用于人体皮肤时有良好的渗透效果；神经酸来自植物；通过柱层析结晶制备纯度大于95%的单体；该组合物安全性高，无毒副作用，是一种天然美白产品","NANJING KANGQI BIOLOGICAL TECH CO LTD","https://www.wanxiangyun.net/search/detail?id=wo2020cn95723","2021","","",""
"一种能够稳定间苯二酚及其衍生物的化妆品组合物","摘要：本发明公开种能够稳定间苯二酚及其衍生物的化妆品组合物,涉及化妆品技术领域。本发明所述一种能够稳定间苯二酚及其衍生物的化妆品组合物,包括以下组分:阴离子型O/W高分子乳化增稠剂和间苯二酚,或阴离子型O/W高分子乳化增稠剂和间苯二酚衍生物;所述阴离子型O/W高分子乳化增稠剂包括以下组分:聚丙烯酸钠、C18 21烷、十三烷醇聚醚 6。","仙婷(广州)科技研发有限公司","https://www.wanxiangyun.net/search/detail?id=cn202110645307","2021","","",""
"一种缓释型亮肤精华组合物及其制备方法","摘要：本发明属于护肤品技术领域,更具体的涉及一种缓释型亮肤精华组合物及其制备方法。一种缓释型亮肤精华组合物,制备原料按重量百分比计,包括:皮肤调理剂5~15、助剂1~10%、溶剂补充余量至100%。本发明中的成膜剂可以将促渗透剂和活性成分充分发挥协同作用,形成包覆型渗透结构,通过各种反应物之间的结合,可以保证渗透持续发生,成膜剂选自三甲基戊二醇/己二酸共聚物,其可以保证功效成分的缓释效果;本发明中使用的促渗透剂可以将本体系中的反应物形成脂质体包覆结构,为渗透作用的发生提供基础。","烟台仙瑟商贸有限公司","https://www.wanxiangyun.net/search/detail?id=cn202110103093","2021","","",""
"PRODUCT CONTAINING RHODIOLA ROSEA EXTRACT AND GINKGO BILOBA EXTRACT, PREPARATION METHOD THEREFOR, AND USE THEREOF","摘要：一种含有玫瑰红景天提取物和银杏叶提取物的产品，其制备方法和用途。本品能抑制酪氨酸酶，减少黑色素，具有美白皮肤的协同作用，可用于制备美白化妆品③","LAFANG CHINA CO LTD","https://www.wanxiangyun.net/search/detail?id=wo2015cn88733","2017","","",""
"红缨合耳菊在制备防晒剂中的应用","摘要：本发明公开了红缨合耳菊在制备防晒剂中的应用。本发明首次发现红缨合耳菊提取物具有紫外线吸收和防晒作用。首次提出红缨合耳菊提取物与物理防晒剂组合物,具有防晒功效。可以作为添加剂加入到化妆品组合物中,起到保护皮肤免受紫外线的照射,具有防晒作用。","中山大学惠州研究院","https://www.wanxiangyun.net/search/detail?id=cn201610421405","2016","","",""
"一种推荐适于个体的活性成分和护肤品的方法以及护肤方法","摘要：本发明公开了一种推荐适于个体的活性成分和护肤品的方法以及护肤方法,涉及护肤服务领域。本发明公开的推荐适于个体的活性成分的方法基于导致皮肤问题的遗传内在原因即与皮肤特征相关基因上的特定位点的单核苷酸多态性,向个体推荐活性成分或含有相应活性成分的护肤品的解决方案,克服现有的仅根据皮肤表型来推荐活性成分存在的靶向性差的问题;且同时利用现有文献对推荐的活性成分的研究情况对活性成分进行层级分类和评估,使得所推荐的护肤解决方案更具有系统性和科学性。","新加坡北斗多维养生公司","https://www.wanxiangyun.net/search/detail?id=cn201710416435","2018","","",""
"【Title of corresponding document：CA2430346A1】 BEAUTIFYING FOODS AND DRINKS AND PERORAL BEAUTIFYING PREPARATIONS","摘要：食品和饮料，每种都含有从五环三萜中选择的一个或多个成员、其生理上可接受的盐以及二者的衍生物；以及口服美容制剂，每种制剂均含有从五环三萜、其生理上可接受的盐和二者的衍生物中选择的一个或多个成员作为活性成分.","无","https://www.wanxiangyun.net/search/detail?id=hk20040103698","2004","","",""
"一种从草豆蔻中提取小豆蔻明的方法","摘要：本发明公开了一种从草豆蔻中提取小豆蔻明的方法,其包括下列内容:a.取适量草豆蔻种子,粉碎至20-60目,以微波、温浸或回流提取法,将草豆蔻种子粉以溶剂提取1-3次,合并提取液,减压浓缩得浸膏;b.将浸膏用石油醚萃取至萃取液近无色,弃去石油醚萃取液,保留剩余浸膏;c.将剩余浸膏采用柱层析分离,高效液相色谱监测,收集含小豆蔻明的流出液,此流出液经浓缩后用有机溶剂结晶即可获得高纯度小豆蔻明。本发明工艺路线操作简单、易于放大、所用柱填料和洗脱液均可回收循环利用,是一种低成本、高纯度、循环型提取工艺。所得小豆蔻明为橘黄色晶体,其纯度不低于93%。","南京泽朗医药科技有限公司","https://www.wanxiangyun.net/search/detail?id=cn201010235806","2011","","",""
"一种抗氧化修护面膜","摘要：本发明公开了一种抗氧化修护面膜,本发明抗氧化修护面膜包括豨莶草提取物、香茶菜提取物和徐长卿提取物这三种植物提取物,在本发明中抗氧化修护面膜豨莶草、香茶菜与徐长卿三者的提取物不是简单的成分相加,而是通过协同合作,达到高效抗炎祛痘,快速修复痘痕,持久抗氧化抗衰老,从自身的抗氧化和外源抗氧化着手,使皮肤达到抗氧化抗衰老的效果。","广州巴宝莉化妆品有限公司","https://www.wanxiangyun.net/search/detail?id=cn201710290227","2017","","",""
"一种细胞复活草霜及其制备方法","摘要：本发明涉及化妆品技术领域,具体是一种细胞复活草霜及其制备方法,由下述质量配比的组分制作而成:复活因子、复活草提取物、植敏舒、PEG 12聚二甲基硅氧烷、1,3 丁二醇等;本发明任务之二是提供一种细胞复活草霜的制备方法。","广州丽彦妆生物科技有限公司","https://www.wanxiangyun.net/search/detail?id=cn201910044775","2019","","",""
"用于皮肤抗衰老的组合物、制备方法、化妆品和应用","摘要：本发明公开的一种用于皮肤抗衰老的组合物。包括酵母发酵产物提取物,二裂酵母发酵产物溶胞物,肌肽三种成分。本发明的三种成分具有良好的协同效应,有很好的祛除皱纹的作用,并能平衡即时和长期的减轻皱纹效果。","浙江予美生物科技有限公司","https://www.wanxiangyun.net/search/detail?id=cn202110956587","2021","","",""
