col1,col2,col3,col4
https://shopee.tw/【台灣發貨】軍訓水杯-女學生韓版可愛杯子-ins高顏值塑料杯耐摔帶吸管-可愛圖案水壺水瓶水杯-吸管杯-i.537257447.12020729862?sp_atk=7688de2d-730a-4cd7-b700-7d32ffafb450&xptdk=7688de2d-730a-4cd7-b700-7d32ffafb450,【台灣發貨】軍訓水杯 女學生韓版可愛杯子 ins高顏值塑料杯耐摔帶吸管 可愛圖案水壺水瓶水杯 吸管杯,分類蝦皮購物居家生活水壺、杯子其他水杯配件,$99 - $149
https://shopee.tw/𝑻𝒉𝒆𝒌𝒖𝒎𝒆𝒆-人氣爆款無痕爆乳無肩帶內衣-i.481652096.9894656097?sp_atk=ffde932b-2503-4534-9966-07e607439a9a&xptdk=ffde932b-2503-4534-9966-07e607439a9a,𝑻𝒉𝒆𝒌𝒖𝒎𝒆𝒆 人氣爆款無痕爆乳無肩帶內衣,分類蝦皮購物女生衣著內睡衣3/4罩/半罩杯內衣,$290
https://shopee.tw/客製化掛布-送燈送安裝包**-客製專拍掛毯-ins裝飾-裝飾掛布-房間掛布-背景掛布-裝飾布-裝飾掛布-牆壁掛-i.289422474.14107505116?sp_atk=6dc66c87-100b-424c-8ffc-c3c29bd64da6&xptdk=6dc66c87-100b-424c-8ffc-c3c29bd64da6,客製化掛布 送燈送安裝包** 客製專拍掛毯 ins裝飾 裝飾掛布 房間掛布 背景掛布 裝飾布 裝飾掛布 牆壁掛,分類蝦皮購物居家生活居家裝飾窗簾、門簾,$10 - $390
https://shopee.tw/▪️現貨▪️泰國品牌i-Gen-文創包簡約休閒百搭側背包斜背-i.95811639.13018419713?sp_atk=f6933d53-aad4-40ef-9934-3ce985de642a&xptdk=f6933d53-aad4-40ef-9934-3ce985de642a,▪️現貨▪️泰國品牌i-Gen 文創包簡約休閒百搭側背包斜背,分類蝦皮購物文創商品包包,$390
https://shopee.tw/🐻7PUPU🐻INS簡約木質收納推車-零食收納-床頭櫃-茶几櫃-文具收納-桌上收納-推車-居家生活-i.14158745.10682017796?sp_atk=247fc76d-490d-4459-915d-e05c94af4a7b&xptdk=247fc76d-490d-4459-915d-e05c94af4a7b,🐻7PUPU🐻INS簡約木質收納推車/零食收納/床頭櫃/茶几櫃/文具收納/桌上收納/推車/居家生活,分類蝦皮購物居家生活收納收納箱、收納盒、收納籃,$599 - $820
https://shopee.tw/4D醫用口罩📣韓版口罩棕色📣-善竹-棕色醫用口罩-臺灣製-咖啡色醫療口罩-奶茶色口罩-雙鋼印5片-泰迪熊棕口罩KF94-i.5391260.12074410784?sp_atk=f0aa697a-6fdb-48c8-84eb-0eecdd0bf469&xptdk=f0aa697a-6fdb-48c8-84eb-0eecdd0bf469,蝦皮優選4D醫用口罩📣韓版口罩棕色📣 善竹 棕色醫用口罩 臺灣製 咖啡色醫療口罩 奶茶色口罩 雙鋼印5片 泰迪熊棕口罩KF94,分類蝦皮購物居家生活日用品口罩,$49
https://shopee.tw/3-8更新！側背包-腋下包-牛仔褲-二手衣-二手裙-二手褲-二手項鍊-各種出清-學生二手衣-大學生-i.212650466.10467260894?sp_atk=005cb9d4-6bab-4f32-8db8-018dae5be332&xptdk=005cb9d4-6bab-4f32-8db8-018dae5be332,3/8更新！側背包 腋下包 牛仔褲 二手衣 二手裙 二手褲 二手項鍊 各種出清 學生二手衣 大學生,分類蝦皮購物女生衣著小可愛/背心無袖背心,$50
https://shopee.tw/蘋果手錶支架-充電支架-Apple-Watch-7代-5-6-SE-44-41mm-45mm-交換禮物-iwatch支架-i.311257566.15433253286?sp_atk=3a61a0d8-d6fe-41bb-9785-4df15441619b&xptdk=3a61a0d8-d6fe-41bb-9785-4df15441619b,蘋果手錶支架 充電支架 Apple Watch 7代 5 6 SE 44/41mm 45mm 交換禮物 iwatch支架,分類蝦皮購物運動/健身運動用品運動穿戴裝置,$199
https://shopee.tw/現貨-絕版！UNI-三菱鉛筆-kuru-toga-advance-透明-限定色-限量-旋轉自動鉛筆-kurutoga-i.11603312.1773635166?sp_atk=2a1b0efc-4b48-4af7-b1b7-6a6cb1b76b64&xptdk=2a1b0efc-4b48-4af7-b1b7-6a6cb1b76b64,現貨 絕版！UNI 三菱鉛筆 kuru toga advance 透明 限定色 限量 旋轉自動鉛筆 kurutoga,分類蝦皮購物居家生活文具鉛筆、自動筆,"$4,999"
https://shopee.tw/ins風-簡約大容量-水瓶-吸管水壺-便攜水杯-i.147894233.14130629991?sp_atk=a37493b2-a743-4ee4-9e7d-577359f5a45e&xptdk=a37493b2-a743-4ee4-9e7d-577359f5a45e,ins風 簡約大容量 水瓶 吸管水壺 便攜水杯,分類蝦皮購物居家生活水壺、杯子其他水杯瓶,$129 - $149
https://shopee.tw/【標檢局認證】家用投影機-便攜臥室迷你便攜式-免安裝-高清學生宿舍電影支援手機電腦筆電Switch安博-投影儀MT230-i.537007867.14241794364?sp_atk=0d50474c-6174-41ad-95d3-606ab4005835&xptdk=0d50474c-6174-41ad-95d3-606ab4005835,【標檢局認證】家用投影機 便攜臥室迷你便攜式 免安裝 高清學生宿舍電影支援手機電腦筆電Switch安博 投影儀MT230,分類蝦皮購物家電影音影音設備投影機,"$1,846"
https://shopee.tw/30片-盒軟甲片可彎可折穿戴甲指甲貼片可拆卸2021款軟甲片果凍膠成品甲片穿戴甲-pQ1W-i.654986748.15244006981?sp_atk=9ea82e52-bb2d-45c5-80c8-3c444c01c9b6&xptdk=9ea82e52-bb2d-45c5-80c8-3c444c01c9b6,30片/盒軟甲片可彎可折穿戴甲指甲貼片可拆卸2021款軟甲片果凍膠成品甲片穿戴甲 pQ1W,分類蝦皮購物美妝保健手足保養、美甲護手霜、保養品,$58 - $117
https://shopee.tw/現貨台灣製醫療-韓版KF94-醫療口罩-淨新口罩-醫用口罩-淨新醫療口罩-立體口罩-4D口罩-船型口罩-魚型口罩-i.2471767.4295873590?sp_atk=3a8ce76a-c48a-4034-bfff-db979b05cb18&xptdk=3a8ce76a-c48a-4034-bfff-db979b05cb18,現貨台灣製醫療 韓版KF94  醫療口罩 淨新口罩 醫用口罩 淨新醫療口罩 立體口罩 4D口罩 船型口罩 魚型口罩,分類蝦皮購物居家生活日用品口罩,$2 - $5
https://shopee.tw/海底撈-【酸辣牛肉冬粉-番茄牛肉冬粉-什錦冬粉（酸辣）】-即沖即食-懶人必備-i.237300461.8432462057?sp_atk=8d52a575-a58b-41ad-8ce4-25d064bd67a1&xptdk=8d52a575-a58b-41ad-8ce4-25d064bd67a1,海底撈 【酸辣牛肉冬粉/番茄牛肉冬粉/什錦冬粉（酸辣）】 即沖即食 懶人必備,分類蝦皮購物美食、伴手禮生鮮食品肉品、肉製品,$75 - $85
https://shopee.tw/【台灣現貨x順易利】雙鋼印-醫療級平面口罩-醫療用口罩-醫療口罩-醫用口罩-防塵口罩-防水口罩-順易利-口罩-i.183953896.5040154229?sp_atk=7104be6d-1b57-4c11-86bc-ac980f974214&xptdk=7104be6d-1b57-4c11-86bc-ac980f974214,【台灣現貨x順易利】雙鋼印 醫療級平面口罩 醫療用口罩 醫療口罩 醫用口罩 防塵口罩 防水口罩 順易利 口罩,分類蝦皮購物居家生活日用品酒精、酒精棉片,$65 - $129
https://shopee.tw/pvc藍底全塑卷材地板-免黏貼-租屋-水泥地-浴室-廚房用-1.20mm厚-耐用8年以上-200x500公分-i.155929.9495834817?sp_atk=e1ba3efb-5355-4852-8833-a92e8c8c72ca&xptdk=e1ba3efb-5355-4852-8833-a92e8c8c72ca,pvc藍底全塑卷材地板 免黏貼 租屋 水泥地 浴室 廚房用 1.20mm厚 耐用8年以上 200x500公分,分類蝦皮購物居家生活五金修繕磁磚、地磚,$180 - $360
https://shopee.tw/3D花边内裤男士夏季新款半透明冰丝平角裤一片式性感男士青年内裤-i.573543092.8196937928?sp_atk=270ca6ca-59de-4177-94e2-5de14f723f8f&xptdk=270ca6ca-59de-4177-94e2-5de14f723f8f,3D花边内裤男士夏季新款半透明冰丝平角裤一片式性感男士青年内裤,分類蝦皮購物男生衣著男性內著內褲,$51
https://shopee.tw/【-HOMEE自訂色🔖】拿鐵系三釦螺紋木耳邊tee-*4色-i.100911454.11040493130?sp_atk=c65e6161-c760-40ea-8e17-06a80e8f12bc&xptdk=c65e6161-c760-40ea-8e17-06a80e8f12bc,【 HOMEE自訂色🔖】拿鐵系三釦螺紋木耳邊tee/*4色,分類蝦皮購物女生衣著T恤短袖T恤,$190
https://shopee.tw/【YoHo-shoes】100拍賣出清零碼鞋自助結帳-i.109922009.7254701294?sp_atk=6c8d73c0-12bd-4004-8366-762eceb44d74&xptdk=6c8d73c0-12bd-4004-8366-762eceb44d74,【YoHo shoes】100拍賣出清零碼鞋自助結帳,分類蝦皮購物書籍及雜誌期刊其他其他,
https://shopee.tw/🇦🇺超模健康營養早餐必備燕麥片🥣開啟一天活力！cp值爆表🧡闆娘600g只要76😂超大一包-i.3703840.11070050981?sp_atk=cadc1adf-0ee2-4cf7-aee8-3aed15d81f4e&xptdk=cadc1adf-0ee2-4cf7-aee8-3aed15d81f4e,🇦🇺超模健康營養早餐必備燕麥片🥣開啟一天活力！cp值爆表🧡闆娘600g只要76😂超大一包,分類蝦皮購物美食、伴手禮飲料、沖泡品麥片、穀物,$66
https://shopee.tw/二手衣！絕對買到賺到🔥幾乎是2-3折🔥-i.2951275.2544768666?sp_atk=de667c44-89f6-4328-8b6e-c0103845df93&xptdk=de667c44-89f6-4328-8b6e-c0103845df93,二手衣！絕對買到賺到🔥幾乎是2-3折🔥,分類蝦皮購物女生衣著T恤其他T恤,$100
https://shopee.tw/Stevesam-2021-夏季新款拖鞋平跟沙灘沙灘拖鞋女士防滑拖鞋多色可選-i.614943133.16512824075?sp_atk=e686fac9-a8e5-4d4b-97c2-b1473f7e8d6d&xptdk=e686fac9-a8e5-4d4b-97c2-b1473f7e8d6d,Stevesam 2021 夏季新款拖鞋平跟沙灘沙灘拖鞋女士防滑拖鞋多色可選,分類蝦皮購物男女鞋女涼拖鞋夾腳拖鞋,$249
https://shopee.tw/🔥拚全台最低價🔥十骨自動傘💖自動摺疊傘-加大傘面-雨傘-10骨自動傘摺疊傘-八骨手動傘B21-i.28969561.524277513?sp_atk=b7ef5fe4-2832-4144-a4c3-0d66e6ec5829&xptdk=b7ef5fe4-2832-4144-a4c3-0d66e6ec5829,🔥拚全台最低價🔥十骨自動傘💖自動摺疊傘  加大傘面 雨傘 10骨自動傘摺疊傘 八骨手動傘B21,分類蝦皮購物戶外/旅行雨衣、雨具雨傘,$119 - $179
https://shopee.tw/【公司貨】三多好入睡30粒-60粒-助眠-舒壓好眠-色胺酸-芝麻明-GABA-i.5742057.7180384033?sp_atk=567ee3c3-0c96-46ee-92ac-a3c122ae9148&xptdk=567ee3c3-0c96-46ee-92ac-a3c122ae9148,【公司貨】三多好入睡30粒/60粒 助眠 舒壓好眠 色胺酸 芝麻明 GABA,分類蝦皮購物美妝保健保健食品、營養品綜合機能保健,$360 - $690
https://shopee.tw/🤘台灣製現貨(有MD鋼印)-盛籐-莫蘭迪系列-灰粉款-成人立體醫用口罩-i.286211674.12559609787?sp_atk=0ab8bcbb-c46e-4096-a676-2ac92b05094a&xptdk=0ab8bcbb-c46e-4096-a676-2ac92b05094a,蝦皮優選🤘台灣製現貨(有MD鋼印) 盛籐 莫蘭迪系列-灰粉款 成人立體醫用口罩,分類蝦皮購物居家生活日用品口罩,$119
https://shopee.tw/“3-2更”秋冬二手衣🍂狀況好又便宜快來挖寶🧏🏻‍♀️-i.33782711.3479367426?sp_atk=e156af97-9850-49cb-8b07-3d8063b9269b&xptdk=e156af97-9850-49cb-8b07-3d8063b9269b,“3/2更”秋冬二手衣🍂狀況好又便宜快來挖寶🧏🏻‍♀️,分類蝦皮購物女生衣著休閒運動服飾休閒運動褲/裙,$50
https://shopee.tw/7號工廠-HID-H1-H7-H11-D2S-D2H-9012-6000K-白光-原廠-雪萊特燈管-非LED-i.4864749.92072175?sp_atk=4a51ec2e-5cfa-48b7-bba7-b633a79fbb09&xptdk=4a51ec2e-5cfa-48b7-bba7-b633a79fbb09,7號工廠 HID H1 H7 H11 D2S D2H 9012 6000K 白光 原廠 雪萊特燈管 非LED,分類蝦皮購物汽機車零件百貨汽車與零組件車燈,$150 - $250
https://shopee.tw/𝙋𝙞𝙣𝙠-♡實拍🪐褶皺設計感闊腿褲-i.4606880.13504540895?sp_atk=16178b14-73d4-401e-ba7b-991dabb1ddf1&xptdk=16178b14-73d4-401e-ba7b-991dabb1ddf1,𝙋𝙞𝙣𝙠 ♡實拍🪐褶皺設計感闊腿褲,分類蝦皮購物女生衣著長褲連身褲/吊帶褲,$360
https://shopee.tw/🐻熱賣回歸！奶茶杏色西裝外套🧸春夏秋可穿-i.24852068.2623905033?sp_atk=18f248ed-fae7-4676-8f42-7a79efa15f2c&xptdk=18f248ed-fae7-4676-8f42-7a79efa15f2c,🐻熱賣回歸！奶茶杏色西裝外套🧸春夏秋可穿,分類蝦皮購物女生衣著外套西裝外套,$450
